id,runtime,score
0,100,-78
0,200,-80
0,300,-108
0,400,-108
0,500,-114
0,600,-136
0,700,-136
0,800,-144
0,900,-148
0,1000,-162
0,1100,-166
0,1200,-166
0,1300,-170
0,1400,-170
0,1500,-170
0,1600,-174
0,1700,-174
0,1800,-174
0,1900,-178
0,2000,-180
0,2100,-180
0,2200,-180
0,2300,-184
0,2400,-184
0,2500,-184
0,2600,-184
0,2700,-184
0,2800,-184
0,2900,-184
0,3000,-184
0,3100,-184
0,3200,-184
0,3300,-184
0,3400,-184
0,3500,-184
0,3600,-184
0,3700,-184
0,3800,-184
0,3900,-184
0,4000,-184
0,4100,-184
0,4200,-184
0,4300,-184
0,4400,-184
0,4500,-184
0,4600,-184
0,4700,-184
0,4800,-184
0,4900,-184
0,5000,-184
0,5100,-184
0,5200,-184
0,5300,-184
0,5400,-184
0,5500,-184
0,5600,-184
0,5700,-184
0,5800,-184
0,5900,-184
0,6000,-184
0,6100,-184
0,6200,-184
0,6300,-184
0,6400,-184
0,6500,-184
0,6600,-184
0,6700,-184
0,6800,-184
0,6900,-184
0,7000,-184
0,7100,-184
0,7200,-184
0,7300,-184
0,7400,-184
0,7500,-184
0,7600,-184
0,7700,-184
0,7800,-184
0,7900,-184
0,8000,-184
0,8100,-184
0,8200,-184
0,8300,-184
0,8400,-184
0,8500,-184
0,8600,-184
0,8700,-184
0,8800,-184
0,8900,-184
0,9000,-184
0,9100,-184
0,9200,-184
0,9300,-184
0,9400,-184
0,9500,-184
0,9600,-184
0,9700,-184
0,9800,-184
0,9900,-184
0,10000,-184
1,100,-91
1,200,-91
1,300,-91
1,400,-125
1,500,-125
1,600,-133
1,700,-141
1,800,-159
1,900,-169
1,1000,-177
1,1100,-177
1,1200,-181
1,1300,-181
1,1400,-193
1,1500,-195
1,1600,-199
1,1700,-199
1,1800,-199
1,1900,-199
1,2000,-199
1,2100,-199
1,2200,-199
1,2300,-199
1,2400,-199
1,2500,-199
1,2600,-199
1,2700,-199
1,2800,-199
1,2900,-199
1,3000,-199
1,3100,-199
1,3200,-199
1,3300,-199
1,3400,-199
1,3500,-199
1,3600,-199
1,3700,-199
1,3800,-199
1,3900,-199
1,4000,-199
1,4100,-199
1,4200,-199
1,4300,-199
1,4400,-199
1,4500,-199
1,4600,-199
1,4700,-199
1,4800,-199
1,4900,-199
1,5000,-199
1,5100,-199
1,5200,-199
1,5300,-199
1,5400,-199
1,5500,-199
1,5600,-201
1,5700,-207
1,5800,-207
1,5900,-207
1,6000,-207
1,6100,-207
1,6200,-207
1,6300,-207
1,6400,-207
1,6500,-207
1,6600,-207
1,6700,-207
1,6800,-207
1,6900,-207
1,7000,-207
1,7100,-207
1,7200,-207
1,7300,-207
1,7400,-207
1,7500,-207
1,7600,-207
1,7700,-207
1,7800,-207
1,7900,-207
1,8000,-207
1,8100,-207
1,8200,-207
1,8300,-207
1,8400,-207
1,8500,-207
1,8600,-207
1,8700,-207
1,8800,-207
1,8900,-207
1,9000,-207
1,9100,-207
1,9200,-207
1,9300,-207
1,9400,-207
1,9500,-207
1,9600,-207
1,9700,-207
1,9800,-207
1,9900,-207
1,10000,-207
2,100,-59
2,200,-97
2,300,-97
2,400,-113
2,500,-113
2,600,-131
2,700,-131
2,800,-147
2,900,-157
2,1000,-157
2,1100,-173
2,1200,-173
2,1300,-181
2,1400,-185
2,1500,-187
2,1600,-189
2,1700,-191
2,1800,-193
2,1900,-193
2,2000,-193
2,2100,-193
2,2200,-193
2,2300,-193
2,2400,-193
2,2500,-193
2,2600,-193
2,2700,-193
2,2800,-193
2,2900,-193
2,3000,-193
2,3100,-193
2,3200,-193
2,3300,-193
2,3400,-193
2,3500,-193
2,3600,-193
2,3700,-193
2,3800,-193
2,3900,-193
2,4000,-193
2,4100,-193
2,4200,-193
2,4300,-193
2,4400,-193
2,4500,-193
2,4600,-193
2,4700,-193
2,4800,-193
2,4900,-193
2,5000,-193
2,5100,-193
2,5200,-193
2,5300,-193
2,5400,-193
2,5500,-193
2,5600,-193
2,5700,-193
2,5800,-193
2,5900,-193
2,6000,-193
2,6100,-195
2,6200,-195
2,6300,-195
2,6400,-195
2,6500,-195
2,6600,-195
2,6700,-197
2,6800,-197
2,6900,-197
2,7000,-197
2,7100,-197
2,7200,-197
2,7300,-197
2,7400,-197
2,7500,-197
2,7600,-197
2,7700,-197
2,7800,-197
2,7900,-197
2,8000,-197
2,8100,-197
2,8200,-197
2,8300,-197
2,8400,-197
2,8500,-197
2,8600,-197
2,8700,-197
2,8800,-197
2,8900,-197
2,9000,-197
2,9100,-197
2,9200,-197
2,9300,-197
2,9400,-197
2,9500,-197
2,9600,-197
2,9700,-197
2,9800,-197
2,9900,-197
2,10000,-197
3,100,-87
3,200,-87
3,300,-105
3,400,-105
3,500,-115
3,600,-115
3,700,-123
3,800,-123
3,900,-141
3,1000,-157
3,1100,-157
3,1200,-163
3,1300,-165
3,1400,-169
3,1500,-173
3,1600,-175
3,1700,-179
3,1800,-179
3,1900,-181
3,2000,-181
3,2100,-181
3,2200,-181
3,2300,-181
3,2400,-183
3,2500,-187
3,2600,-189
3,2700,-189
3,2800,-189
3,2900,-189
3,3000,-191
3,3100,-191
3,3200,-191
3,3300,-191
3,3400,-191
3,3500,-191
3,3600,-191
